GAME_ID,AWAY_ML,HOME_ML,SPREAD,TOTAL_POINTS
20191250DEN,1098,-2200,15,221.5
20191250HOU,-165,144,1,228
20191250MEM,115,-135,pk,213.5
20191250MIL,614,-900,11,228.5
20191250ORL,140,-160,4,217.5
20191250UTA,459,-620,8.5,222
20191260BOS,-170,145,1.5,230
20191260DEN,450,-650,6,224.5
20191260MEM,-210,175,2.5,204.5
20191260NOP,-200,170,1.5,226.5
20191260POR,325,-425,10.5,228.5
20191270CHI,180,-220,5.5,211
20191270DAL,-180,150,4.5,220
20191270HOU,350,-450,8.5,221
20191270LAC,140,-160,4.5105,228.5
20191270LAL,260,-330,5,226.5
20191270MIN,-240,190,3.5,217
20191270NYK,-210,175,5.5,212
20191270OKC,-110,-110,pk,233
20191270SAS,160,-190,3,220.5
20191280BOS,350,-450,10,219.5
20191280CHO,650,-1000,10.5,217.5
20191280IND,-350,275,8,227
20191280LAC,210,-260,6.5,231
20191280MEM,-240,190,5,208
20191290BRK,240,-300,8,217
20191290CLE,-350,275,6.5,219
20191290DET,-300,240,7,217.5
20191290HOU,900,-1600,9,234.5
20191290LAL,-340,270,6,232
20191290ORL,-155,135,6,221.5
20191290SAS,900,-1600,13.5,223.5
20191300BOS,260,-330,6.5,218
20191300MIA,525,-750,10.5,206.5
20191300MIN,135,-155,5,211
20191300NOP,-500,375,8.5,226
20191300NYK,-300,240,6,217
20191300POR,-145,125,1,219
20191300SAC,180,-220,6.5,233
20191300WAS,-115,-105,1,217.5
20191310DET,270,-340,1.5,208
20191310GSW,300,-400,8.5,240.5
20191310LAC,-130,110,6,229.5
20191310ORL,145,-170,1105,211
